original_sentence,orig_sent_id,changed_sentence,changed_sent_id,original_file_name,orig_ann,changed_ann
"Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн.",2,"Слідчі встановили, що у 2018-2019 рр. управління ЖКГ Чернігівської міськради та ТОВ «Армшляхбуд» уклали низку договорів на загальну суму 91,89 млн грн.",2,104263660695.txt,"{'T6': ('Слідчі', 'JOB')}","{'T6': ('Слідчі', 'JOB')}"
"Суд надав слідчим доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ.",7,"Суд надав слідчій доступ до документації щодо 49 угод, які знаходяться в ТОВ «Армшляхбуд» та управлінні ЖКГ.",7,104263660695.txt,"{'T23': ('слідчим', 'JOB')}","{'T23': ('слідчій', 'JOB')}"
"Директором та засновником ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Андранік Мкртчян.",8,"Директоркою та засновницею ТОВ «Армшляхбуд», створеного у лютому 2018 р., є Валентина Мкртчян.",8,104263660695.txt,"{'T25': ('Директором', 'JOB'), 'T26': ('засновником', 'JOB')}","{'T25': ('Директоркою', 'JOB'), 'T26': ('засновницею', 'JOB')}"
"Співвласником цієї компанії у свою чергу з часткою в 75% є Іван Плачков, голова наглядової ради ПАТ «Київенерго», яке і проводило тендер.",5,"Співвласницею цієї компанії у свою чергу з часткою в 75% є Марія Плачкова, голова наглядової ради ПАТ «Київенерго», яке і проводило тендер.",5,97c7987b8f9c.txt,"{'T17': ('голова наглядової ради', 'JOB')}","{'T17': ('голова наглядової ради', 'JOB')}"
"Одесит Іван Плачков почав працювати в компанії понад 20 років тому, з середини 90-х займає у ній керівні посади, у 1995-99 вперше стає головою правління «Київенерго».",6,"Одеситка Іванна Плачкова почала працювати в компанії понад 20 років тому, з середини 90-х займає у ній керівні посади, у 1995-99 вперше стає головою правління «Київенерго».",6,97c7987b8f9c.txt,"{'T25': ('головою правління', 'JOB')}","{'T25': ('головою правління', 'JOB')}"
"У 1999 очолив Міністерство енергетики України, потім – знову «Київенерго» у 2000-2005 р. р. ; у 2005-2006 міністр палива та енергетики України ; багаторазовий депутат Київської міськради, з 2008 – у фракції Кличка.",7,"У 1999 очолила Міністерство енергетики України, потім – знову «Київенерго» у 2000-2005 р. р. ; у 2005-2006 міністерка палива та енергетики України ; багаторазова депутатка Київської міськради, з 2008 – у фракції Кличко.",7,97c7987b8f9c.txt,"{'T36': ('міністр палива та енергетики України', 'JOB'), 'T37': ('депутат', 'JOB')}","{'T36': ('міністерка палива та енергетики України', 'JOB'), 'T37': ('депутатка', 'JOB')}"
"Його син, Плачков Григорій Іванович, з серпня 2012 р. указом Президента призначений начальником відділу Департаменту стратегічної політики, інвестицій та ядерно-енергетичного комплексу Міністерства енергетики та вугільної промисловості України.",9,"Її донька, Плачкова Олена Іванівна, з серпня 2012 р. указом Президентки призначена начальницею відділу Департаменту стратегічної політики, інвестицій та ядерно-енергетичного комплексу Міністерства енергетики та вугільної промисловості України.",9,97c7987b8f9c.txt,"{'T46': ('Президента', 'JOB'), 'T47': ('начальником відділу', 'JOB')}","{'T46': ('Президентки', 'JOB'), 'T47': ('начальницею відділу', 'JOB')}"
"Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишньому головному спеціалісту відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Олександру Тютюннику, який отримав $31 тис хабара.",0,"Жовтневий райсуд м. Дніпро призначив 25,5 тис грн. штрафу колишній головній спеціалістці відділу контролю за використанням та охорони земель у Верхньодніпровському, Криничанському, П'ятихатському районах та м. Кам'янське управління з контролю за використанням та охороною земель ГУ Держгеокадастру у Дніпропетровській області Анжеліці Тютюнник, яка отримала $31 тис хабара.",0,cbf21c99c504.txt,"{'T3': ('головному спеціалісту відділу контролю за використанням та охорони земель', 'JOB')}","{'T3': ('головній спеціалістці відділу контролю за використанням та охорони земель', 'JOB')}"
В подальшому Тютюнник пообіцяв директору ПТ «АЯКС» Анатолію Лейку за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальника відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.,6,В подальшому Тютюнник пообіцяв директорці ПТ «АЯКС» Галині Лейко за $31 тис (813 тис грн.) неправомірної вигоди вплинути на начальницю відділу у Верхньодніпровському районі ГУ облДержгеокадастру та інших посадових осіб щодо поновлення договорів оренди двох ділянок у с. Заполички.,6,cbf21c99c504.txt,"{'T29': ('директору', 'JOB'), 'T34': ('начальника відділу', 'JOB')}","{'T29': ('директорці', 'JOB'), 'T34': ('начальницю відділу', 'JOB')}"
"У січні цього року чиновник у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримав $31 тис хабара.",7,"У січні цього року чиновниця у салоні автомобіля «Mitsubishi Pajero», на автопарковці автозаправної станції «ОККО» у м. Дніпрі отримала $31 тис хабара.",7,cbf21c99c504.txt,"{'T39': ('чиновник', 'JOB')}","{'T39': ('чиновниця', 'JOB')}"
"Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатра і нарколога не перебуває, має на утриманні малолітню дитину, визнав вину та щиро розкаявся і призначив йому штраф у розмірі 25,5 тис грн.",9,"Суд врахував, що Тютюнник характеризується позитивно, на обліку у лікарів психіатрині і наркологині не перебуває, має на утриманні малолітню дитину, визнала вину та щиро розкаялась і призначив йому штраф у розмірі 25,5 тис грн.",9,cbf21c99c504.txt,"{'T45': ('психіатра', 'JOB'), 'T46': ('нарколога', 'JOB')}","{'T45': ('психіатрині', 'JOB'), 'T46': ('наркологині', 'JOB')}"
Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовців в Кіровограді.,0,Міністерство оборони України визначило ТОВ «Київ-Інстал» переможцем конкурсу на добудову житлового будинку для військовослужбовиць в Кіровограді.,0,e96b3ae1908b.txt,"{'T3': ('військовослужбовців', 'JOB')}","{'T3': ('військовослужбовиць', 'JOB')}"
