Оригінальне речення,Змінене речення,Анотації,Коректність речення,Виправлене речення,Помічник/ця
Виставу за п'єсою російського класика Льва Толстого поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисера Романа Мархоліа .,Виставу за п'єсою російського класика Льва Толстої поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисерки Вікторії Мархоліа .,"{'Льва Толстого': 'PERS', 'режисера': 'JOB', 'Романа Мархоліа': 'PERS', 'Толстого': 'PERS', 'Мархоліа': 'PERS'}",Містить помилки,Виставу за п'єсою російської класикині Марії Толстої поставили у столичному Театрі імені Франка . 28 квітня тут відбулася прем'єра спектаклю « Живий труп » у постановці режисерки Вікторії Мархоліі .,Оля Н
"Віртуозні Лесь Задніпровський – князь Абрезков та Олег Стальчук – Слідчий , Геній .","Віртуозні Ганна Задніпровська – княгиня Абрезкова та Юрій Стальчук – Слідчий, Геній.","{'Лесь Задніпровський': 'PERS', 'князь': 'JOB', 'Абрезков': 'PERS', 'Олег Стальчук': 'PERS', 'Слідчий': 'PERS', 'Геній': 'PERS'}",Містить помилки,"Віртуозні Ганна Задніпровська – княгиня Абрезкова та Олена Стальчук – Слідча, Генійка.",
"Старша в Києві , одружена з військовим , чоловік нещодавно дістав підполковника , і донька дуже з цього тішиться .","Старша в Києві , одружена з військовою , чоловік нещодавно дістав підполковника , і донька дуже з цього тішиться .",{'військовим': 'JOB'},Містить помилки,"Старша в Києві , одружена з військовою , жінка нещодавно дістала підполковницю , і донька дуже з цього тішиться .",
"Ні , не так - автор статті , позаштатний кореспондент « Ровесника » , худий патлатий хлопчина в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії .","Ні , не так - авторка статті , позаштатна кореспондентка « Ровесника » , худий патлатий хлопець в окулярах із грубими скельцями , просто побачив у неї на столі кілька мухоморів , нічого не запитав , потім дав волю фантазії .",{'позаштатний кореспондент': 'JOB'},Правильне,,
"І лектори в сірих піджаках із червоними партквитками , дбайливо захованими до внутрішніх кишень , і студенти разом з акторами обласного муздрамтеатру з початком навчального року починали колесити по клубах і школах області , розповідаючи про священиків , цих шуцманів у рясах , науковий атеїзм та релігію як знаряддя пропаганди буржуазного націоналізму .","І лектори в сірих піджаках із червоними партквитками , дбайливо захованими до внутрішніх кишень , і студенти разом з акторами обласного муздрамтеатру з початком навчального року починали колесити по клубах і школах області , розповідаючи про священиць , цих шуцманок у рясах , науковий атеїзм та релігію як знаряддя пропаганди буржуазного націоналізму .",{'священиків': 'JOB'},Правильне,,
Потім був офіцер із підозрілим поглядом і відсутністю посмішки .,Потім була офіцерка із підозрілим поглядом і відсутністю посмішки .,{'офіцер': 'JOB'},Правильне,,
"Привіталася з портьє - молодим хлопцем , імовірно , індійцем , який погано говорив англійською .","Привіталася з портьє - молодою дівчиною , імовірно , індійкою , яка погано говорила англійською .",{'портьє': 'JOB'},Правильне,,
"Дівчина швидко вдяглася , висушила волосся й збігла вниз , до адміністратора .","Дівчина швидко вдяглася, висушила волосся й збігла вниз, до адміністратора.",{'адміністратора': 'JOB'},Містить помилки,"Дівчина швидко вдяглася , висушила волосся й збігла вниз , до адміністраторки .",
Про це вчора під час брифінгу повідомив голова КМДА Володимир Бондаренко .,Про це вчора під час брифінгу повідомила голова КМДА Людмила Бондаренко.,"{'голова': 'JOB', 'Володимир Бондаренко': 'PERS'}",Правильне,,
"Проте загострена потреба провести огляд повторно , самому , поки доктор Нещерет вовтузиться зі своїми дослідами та аналізами , привела Левченка туди , де загинула Люба .","Проте загострена потреба провести огляд повторно , самій , поки докторка Нещерет вовтузиться зі своїми дослідами та аналізами , привела Левченка туди , де загинув Левко .","{'доктор': 'JOB', 'Нещерет': 'PERS', 'Левченка': 'PERS', 'Люба': 'PERS'}",Містить помилки,"Проте загострена потреба провести огляд повторно , самому , поки докторка Нещерет вовтузиться зі своїми дослідами та аналізами , привела Левченко туди , де загинула Люба.",
