inputs,targets
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): неформал",неформалка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): фундатор",фундаторка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): абонент",абонентка
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Переможні битви війська Богдана Хмельницького у національно-визвольній боротьбі українського народу в XVII ст . Визвольну війну українського народу проти панування Польщі в XVII ст . очолив гетьман Богдан Хмельницький .",Переможні битви війська Богдани Хмельницької у національно-визвольній боротьбі українського народу в XVII ст . Визвольну війну українського народу проти панування Польщі в XVII ст . очолила гетьманша Богдана Хмельницька .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): — Як скажеш , батьку ! — хором відповіли « полковниці » .
","— Як скажеш , батьку ! — хором відповіли « полковники » ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): натурниця",натурник
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Однак суд визнав твердження прокурорки необґрунтованими і в позові відмовив.",Однак суд визнав твердження прокурора необґрунтованими і в позові відмовив.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Власником Одеського НПЗ є компанія «Емпсон лімітед», бенефіціаром якої є бізнесмен Сергій Курченко, який оголошений в міжнародний розшук.","Власницею Одеського НПЗ є компанія «Емпсон лімітед», бенефіціаркою якої є бізнесменка Тамара Курченко, яка оголошена в міжнародний розшук."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): індіанка",індіанець
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Херсонщина втратила талановиту журналістку , письменницю , публіцистку , першу і поки що єдину лауреатку всеукраїнської премії ім . І . Франка у галузі інформаційної діяльності .","Херсонщина втратила талановитого журналіста , письменника , публіциста , першого і поки що єдиного лауреата всеукраїнської премії ім . І . Франка у галузі інформаційної діяльності ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Прокуратура розслідує факт зловживання службовим становищем завідувачки КМКП «Профдезінфекція №1» (Кременчук, Полтавська область) при передачі в оренду приміщення ТОВ «Фірма «Профдезінфекція № 1» без погодження з засновницями та по заниженій ціні.","Прокуратура розслідує факт зловживання службовим становищем завідувача КМКП «Профдезінфекція №1» (Кременчук, Полтавська область) при передачі в оренду приміщення ТОВ «Фірма «Профдезінфекція № 1» без погодження з засновниками та по заниженій ціні."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): боягуз",боягузка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): передплатниця",передплатник
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): хокеїстка",хокеїст
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Старша в Києві , одружена з військовою , жінка нещодавно дістала підполковницю , і донька дуже з цього тішиться .","Старша в Києві , одружена з військовим , чоловік нещодавно дістав підполковника , і донька дуже з цього тішиться ."
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): художниця",художник
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): льотчик",льотчиця
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У « Слові особливім про нестатечне життя » поетеса знову вістить про невигоди гуртожитного життя зі « злим співмешканцем » .",У « Слові особливім про нестатечне життя » поет знову вістить про невигоди гуртожитного життя зі « злим співмешканцем » .
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Досконалий чернець ( людина взагалі ) тут бачиться цілком позбавленим свого « я » , власної думки , волі , тобто має перетворитися на цілковитого робота , чужого творчому началу , який живе ніби за натисненням певних ідеологічних кнопок .","Досконала черниця ( людина взагалі ) тут бачиться цілком позбавленою свого « я » , власної думки , волі , тобто має перетворитися на цілковитого робота , чужого творчому началу , який живе ніби за натисненням певних ідеологічних кнопок ."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це брат голови Держпідприємництва Михайла Бродського.",Це брат голови Держпідприємництва Любові Бродської.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За даними слідства, у 2015 році директор комунального виробничого підприємства «Краматорська тепломережа» уклав договір про купівлю труб марки «Ізопрофлекс» по ціні 1200 грн. за один погонний метр у ТОВ «ТД «Укрпласт», з директором якого попередньо вступив у злочинну змову.","За даними слідства, у 2015 році директорка комунального виробничого підприємства «Краматорська тепломережа» уклала договір про купівлю труб марки «Ізопрофлекс» по ціні 1200 грн. за один погонний метр у ТОВ «ТД «Укрпласт», з директоркою якого попередньо вступила у злочинну змову."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після втечі екс-президентки Людмили Янукович Юлія Іванющенко теж покинула Україну.",Після втечі екс-президента Віктора Януковича Юрій Іванющенко теж покинув Україну.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В такому разі шлях утікача — до першого міліціонера чи першого військового патруля .",В такому разі шлях утікача — до першої міліціонерки чи першого військового патруля .
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): соратник",соратниця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): небіжчик",небіжчиця
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): спілчанин",спілчанка
"Перефразуй це слово, змінивши його гендер на протилежний (чоловічий <-> жіночий): егоцентристка",егоцентрист
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2011 році директором фірми був тодішній депутат Ківерцівської райради (Волинська обл.)",У 2011 році директоркою фірми була тодішня депутатка Ківерцівської райради (Волинська обл.)
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд надав слідчим доступ до документації останнього.",Суд надав слідчим доступ до документації останнього.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд визнав інженера ДП «Південна залізниця» винним у службовій недбалості, що спричинило шкоду на 181 тис грн. у вигляді надмірного перерахування коштів за роботи ТОВ «Житлобуд ЛТД».","Суд визнав інженерку ДП «Південна залізниця» винною у службовій недбалості, що спричинило шкоду на 181 тис грн. у вигляді надмірного перерахування коштів за роботи ТОВ «Житлобуд ЛТД»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Прокурор аж позеленів від люті , але можете уявити собі , з якою вдячністю слухав ці слова я , тодішній підсудний !","Прокурорка аж позеленіла від люті , але можете уявити собі , з якою вдячністю слухав ці слова я , тодішній підсудний !"
